"Store","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","Date"
1,1643690.9,0,42.0,2.57,211.096,8.106,"02-05-2010"
1,1641957.44,1,39.0,2.55,211.242,8.106,"02-12-2010"
1,1611968.17,0,40.0,2.51,211.289,8.106,"02-19-2010"
1,1409727.59,0,47.0,2.56,211.32,8.106,"02-26-2010"
1,1554806.68,0,46.0,2.62,211.35,8.106,"03-05-2010"
1,1439541.59,0,58.0,2.67,211.381,8.106,"03-12-2010"
1,1472515.79,0,55.0,2.72,211.216,8.106,"03-19-2010"
1,1404429.92,0,51.0,2.73,211.018,8.106,"03-26-2010"
1,1594968.28,0,62.0,2.72,210.82,7.808,"04-02-2010"
1,1545418.53,0,66.0,2.77,210.623,7.808,"04-09-2010"
1,1466058.28,0,66.0,2.81,210.489,7.808,"04-16-2010"
1,1391256.12,0,65.0,2.8,210.439,7.808,"04-23-2010"
1,1425100.71,0,67.0,2.78,210.39,7.808,"04-30-2010"
1,1603955.12,0,73.0,2.84,210.34,7.808,"05-07-2010"
1,1494251.5,0,75.0,2.85,210.337,7.808,"05-14-2010"
1,1399662.07,0,76.0,2.83,210.617,7.808,"05-21-2010"
1,1432069.95,0,80.0,2.76,210.897,7.808,"05-28-2010"
1,1615524.71,0,81.0,2.7,211.176,7.808,"06-04-2010"
1,1542561.09,0,80.0,2.67,211.456,7.808,"06-11-2010"
1,1503284.06,0,84.0,2.64,211.454,7.808,"06-18-2010"
1,1422711.6,0,84.0,2.65,211.339,7.808,"06-25-2010"
1,1492418.14,0,81.0,2.67,211.224,7.787,"07-02-2010"
1,1546074.18,0,80.0,2.64,211.108,7.787,"07-09-2010"
1,1448938.92,0,83.0,2.62,211.1,7.787,"07-16-2010"
1,1385065.2,0,83.0,2.61,211.235,7.787,"07-23-2010"
1,1371986.6,0,82.0,2.64,211.37,7.787,"07-30-2010"
1,1605491.78,0,87.0,2.63,211.505,7.787,"08-06-2010"
1,1508237.76,0,87.0,2.69,211.639,7.787,"08-13-2010"
1,1513080.49,0,87.0,2.66,211.603,7.787,"08-20-2010"
1,1449142.92,0,85.0,2.62,211.567,7.787,"08-27-2010"
1,1540163.53,0,81.0,2.58,211.531,7.787,"09-03-2010"
1,1507460.69,1,79.0,2.56,211.495,7.787,"09-10-2010"
1,1430378.67,0,82.0,2.58,211.522,7.787,"09-17-2010"
1,1351791.03,0,81.0,2.62,211.597,7.787,"09-24-2010"
1,1453329.5,0,72.0,2.6,211.672,7.838,"10-01-2010"
1,1508239.93,0,64.0,2.63,211.747,7.838,"10-08-2010"
1,1459409.1,0,67.0,2.72,211.814,7.838,"10-15-2010"
1,1345454.0,0,70.0,2.72,211.861,7.838,"10-22-2010"
1,1384209.22,0,70.0,2.72,211.909,7.838,"10-29-2010"
1,1551659.28,0,59.0,2.69,211.956,7.838,"11-05-2010"
1,1494479.49,0,60.0,2.73,212.004,7.838,"11-12-2010"
1,1483784.18,0,51.0,2.77,211.89,7.838,"11-19-2010"
1,1955624.11,1,65.0,2.74,211.748,7.838,"11-26-2010"
1,1548033.78,0,49.0,2.71,211.607,7.838,"12-03-2010"
1,1682614.26,0,46.0,2.84,211.466,7.838,"12-10-2010"
1,1891034.93,0,50.0,2.87,211.405,7.838,"12-17-2010"
1,2387950.2,0,52.0,2.89,211.405,7.838,"12-24-2010"
1,1367320.01,1,48.0,2.94,211.405,7.838,"12-31-2010"
1,1444732.28,0,48.0,2.98,211.405,7.742,"01-07-2011"
1,1391013.96,0,35.0,2.98,211.457,7.742,"01-14-2011"
1,1327405.42,0,44.0,3.02,211.827,7.742,"01-21-2011"
1,1316899.31,0,44.0,3.01,212.197,7.742,"01-28-2011"
1,1606629.58,0,42.0,2.99,212.567,7.742,"02-04-2011"
1,1649614.93,1,36.0,3.02,212.937,7.742,"02-11-2011"
1,1686842.78,0,57.0,3.04,213.248,7.742,"02-18-2011"
1,1456800.28,0,63.0,3.06,213.536,7.742,"02-25-2011"
1,1636263.41,0,60.0,3.29,213.823,7.742,"03-04-2011"
1,1553191.63,0,54.0,3.46,214.111,7.742,"03-11-2011"
1,1576818.06,0,63.0,3.49,214.363,7.742,"03-18-2011"
1,1541102.38,0,70.0,3.47,214.6,7.742,"03-25-2011"
1,1495064.75,0,59.0,3.52,214.837,7.682,"04-01-2011"
1,1614259.35,0,68.0,3.62,215.074,7.682,"04-08-2011"
1,1559889.0,0,71.0,3.74,215.292,7.682,"04-15-2011"
1,1564819.81,0,73.0,3.81,215.46,7.682,"04-22-2011"
1,1455090.69,0,72.0,3.81,215.628,7.682,"04-29-2011"
1,1629391.28,0,65.0,3.91,215.796,7.682,"05-06-2011"
1,1604775.58,0,76.0,3.9,215.964,7.682,"05-13-2011"
1,1428218.27,0,68.0,3.91,215.734,7.682,"05-20-2011"
1,1466046.67,0,78.0,3.79,215.504,7.682,"05-27-2011"
1,1635078.41,0,83.0,3.7,215.274,7.682,"06-03-2011"
1,1588948.32,0,83.0,3.65,215.044,7.682,"06-10-2011"
1,1532114.86,0,86.0,3.64,214.998,7.682,"06-17-2011"
1,1438830.15,0,84.0,3.59,215.091,7.682,"06-24-2011"
1,1488538.09,0,86.0,3.52,215.184,7.962,"07-01-2011"
1,1534849.64,0,86.0,3.48,215.277,7.962,"07-08-2011"
1,1455119.97,0,89.0,3.58,215.361,7.962,"07-15-2011"
1,1396926.82,0,86.0,3.65,215.422,7.962,"07-22-2011"
1,1352219.79,0,87.0,3.68,215.483,7.962,"07-29-2011"
1,1624383.75,0,92.0,3.68,215.545,7.962,"08-05-2011"
1,1525147.09,0,91.0,3.64,215.606,7.962,"08-12-2011"
1,1530761.43,0,90.0,3.55,215.669,7.962,"08-19-2011"
1,1464693.46,0,88.0,3.52,215.733,7.962,"08-26-2011"
1,1550229.22,0,88.0,3.53,215.797,7.962,"09-02-2011"
1,1540471.24,1,76.0,3.55,215.861,7.962,"09-09-2011"
1,1514259.78,0,80.0,3.53,216.041,7.962,"09-16-2011"
1,1380020.27,0,76.0,3.47,216.376,7.962,"09-23-2011"
1,1394561.83,0,80.0,3.36,216.711,7.962,"09-30-2011"
1,1630989.95,0,69.0,3.28,217.045,7.866,"10-07-2011"
1,1493525.93,0,72.0,3.27,217.355,7.866,"10-14-2011"
1,1502562.78,0,64.0,3.35,217.516,7.866,"10-21-2011"
1,1445249.09,0,67.0,3.37,217.677,7.866,"10-28-2011"
1,1697229.58,0,55.0,3.33,217.837,7.866,"11-04-2011"
1,1594938.89,0,59.0,3.3,217.998,7.866,"11-11-2011"
1,1539483.7,0,62.0,3.31,218.221,7.866,"11-18-2011"
1,2033320.66,1,60.0,3.24,218.468,7.866,"11-25-2011"
1,1584083.95,0,49.0,3.17,218.715,7.866,"12-02-2011"
1,1799682.38,0,44.0,3.16,218.962,7.866,"12-09-2011"
1,1881176.67,0,52.0,3.16,219.179,7.866,"12-16-2011"
1,2270188.99,0,48.0,3.11,219.358,7.866,"12-23-2011"
1,1497462.72,1,45.0,3.13,219.536,7.866,"12-30-2011"
1,1550369.92,0,49.0,3.16,219.714,7.348,"01-06-2012"
1,1459601.17,0,49.0,3.26,219.893,7.348,"01-13-2012"
1,1394393.84,0,54.0,3.27,219.986,7.348,"01-20-2012"
1,1319325.59,0,54.0,3.29,220.079,7.348,"01-27-2012"
1,1636339.65,0,57.0,3.36,220.172,7.348,"02-03-2012"
1,1802477.43,1,48.0,3.41,220.265,7.348,"02-10-2012"
1,1819870.0,0,45.0,3.51,220.426,7.348,"02-17-2012"
1,1539387.83,0,57.0,3.56,220.637,7.348,"02-24-2012"
1,1688420.76,0,61.0,3.63,220.848,7.348,"03-02-2012"
1,1675431.16,0,59.0,3.67,221.059,7.348,"03-09-2012"
1,1677472.78,0,65.0,3.73,221.212,7.348,"03-16-2012"
1,1511068.07,0,66.0,3.79,221.286,7.348,"03-23-2012"
1,1649604.63,0,68.0,3.84,221.361,7.348,"03-30-2012"
1,1899676.88,0,70.0,3.89,221.436,7.143,"04-06-2012"
1,1621031.7,0,69.0,3.89,221.51,7.143,"04-13-2012"
1,1521577.87,0,67.0,3.88,221.564,7.143,"04-20-2012"
1,1468928.37,0,67.0,3.81,221.618,7.143,"04-27-2012"
1,1684519.99,0,76.0,3.75,221.672,7.143,"05-04-2012"
1,1611096.05,0,74.0,3.69,221.726,7.143,"05-11-2012"
1,1595901.87,0,70.0,3.63,221.743,7.143,"05-18-2012"
1,1555444.55,0,77.0,3.56,221.745,7.143,"05-25-2012"
1,1624477.58,0,78.0,3.5,221.747,7.143,"06-01-2012"
1,1697230.96,0,78.0,3.45,221.749,7.143,"06-08-2012"
